Block,Price Oracle 0,Price Oracle 1,Price Scale 0,Price Scale 1,Fee,VP,A,Gamma,Fee_Gamma,D,lp_price,xcp_profit,xcp_profit_a
8611724,42317421786473623514523,2291272644685818611230,42312013157105917783612,2291255175245756219001,104494057,1003965335148153733,2370125,42796029722517,7200000000000,1357438646860449467692185,1383684213826907984022,1007806369696059422,1007804697994119598
8612251,42328969761056606123442,2291280202307934411957,42315931518390879453774,2291251754565668817591,110675563,1003967954777638858,2362596,42951133774475,7200000000000,1357483414556596418671733,1383752131924575243121,1007809172016686653,1007804697994119598
8612778,42353830917227772672007,2291477252584323521437,42336201498511892520158,2291343848386324255635,117056878,1003971739318933504,2355068,43106237826433,7200000000000,1357723439854598790712288,1384051229847130858669,1007813910521900774,1007804697994119598
8613305,42376593500377135872044,2291676333099824041377,42360342721216323291766,2291539338245528644092,115035319,1003968471491494366,2347539,43261341878391,7200000000000,1358023543848629385479279,1384380917523960049633,1007809447107672286,1007809337807944801
8613832,42404128447778316299901,2291952628799119964152,42391631979024121815363,2291817433490404436815,117510040,1003969813099913367,2340010,43416445930349,7200000000000,1358418094654197671471696,1384762187955477564168,1007811726030605147,1007810408189113994
8614359,42426413890652381190243,2292207810606627008353,42408577251217816698407,2292005588949069384236,116230919,1003969269795643067,2332482,43571549982308,7200000000000,1358635514925554427865423,1385045773004664064772,1007811969018548222,1007810408189113994
8614886,42439404713886352139173,2292362544144530012884,42418144156324146286746,2292116290086640428766,115420476,1003968875074514242,2324953,43726654034266,7200000000000,1358759012190327552204432,1385185923079455836880,1007812006298899583,1007810408189113994
8615413,42460107308179984822849,2292614324639688853378,42445335611204613535959,2292435786934036629454,113036229,1003968562197352488,2317424,43881758086224,7200000000000,1359118951022440649768355,1385376746371907554469,1007812065051117015,1007812052388646562
8615940,42469519616738786934567,2292728690456002593849,42449599942854854960986,2292487444823931977904,112611704,1003968383854155086,2309896,44036862138182,7200000000000,1359174432425235547126934,1385604717584718453514,1007812066838343448,1007812052388646562
8616467,42476963104067618397246,2292819316373702313694,42462265495051167933901,2292640820036064699686,111330445,1003967902508002733,2302367,44191966190140,7200000000000,1359343275866835824930147,1385662561046420367584,1007812094701969769,1007812086636847552
8616994,42497780584894877705550,2293106515745180584201,42478714802275921057324,2292845096884017799436,114493374,1003969613860038775,2294838,44347070242098,7200000000000,1359561478105991448481379,1385943408135656856289,1007814509750865425,1007812086636847552
8617521,42515187171250547773224,2293348443102481359961,42494339984659077316784,2293059963932159072182,113055884,1003968425676418661,2287310,44502174294057,7200000000000,1359772864523535431866740,1386055239444026540135,1007813356275262595,1007813350156609515
8618048,42522554644959362148757,2293450019135862136960,42502548237554019103780,2293173568969946891337,112237569,1003968092055154725,2279781,44657278346015,7200000000000,1359882470061349885804482,1386291350956061043015,1007813362792393768,1007813353228728830
8618575,42533349608118824201317,2293622530673733699899,42510102641574295871989,2293278016389296812461,114634027,1003969404528839029,2272252,44812382397973,7200000000000,1359985458838106935232091,1386380400555901634023,1007815011092882218,1007813353228728830
